               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.022561,            0.015449,                   0,             0.88866,             0.89943,             0.94006,             0.60224,            0.028618,            0.016833,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.022523,             0.01583,                   0,              0.8994,             0.89508,             0.93803,              0.6049,            0.028499,            0.016761,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.022232,            0.015089,                   0,              0.9122,             0.87953,             0.94138,             0.61077,            0.028122,            0.016794,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.02254,            0.015087,                   0,             0.90943,             0.89378,             0.94472,             0.61311,            0.028271,            0.017006,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.021806,              0.0151,                   0,             0.91232,             0.89249,             0.94341,              0.6157,             0.02805,             0.01684,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.022269,            0.014742,                   0,             0.90718,             0.88601,              0.9374,             0.60777,            0.027856,            0.017174,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.021835,            0.014602,                   0,             0.89771,             0.90415,             0.94416,             0.60815,            0.028298,            0.017091,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021708,            0.014174,                   0,             0.92258,             0.87176,             0.94005,             0.60927,            0.028279,            0.017052,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.021938,            0.015166,                   0,             0.91033,             0.88109,             0.94303,             0.61213,             0.02824,            0.017029,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.02097,            0.014824,                   0,             0.91082,             0.87953,             0.93853,             0.61383,            0.027756,            0.017014,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.021421,            0.014889,                   0,             0.89152,             0.89378,             0.93717,             0.61036,            0.028142,            0.017064,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.021145,            0.015082,                   0,             0.91446,             0.87246,             0.93776,             0.61157,            0.028121,            0.017118,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.021375,            0.015204,                   0,             0.89413,             0.89508,             0.93729,             0.61009,            0.028005,            0.017329,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.021196,              0.0145,                   0,             0.90505,             0.88899,              0.9383,             0.61174,            0.027967,            0.017354,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.020996,            0.014281,                   0,             0.90526,             0.88472,              0.9378,             0.61161,            0.028171,            0.017504,                   0,            0.000694,            0.000694,            0.000694
                  96,               0.021,            0.014314,                   0,             0.90985,             0.88212,             0.93683,             0.60867,            0.028328,            0.017495,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021085,            0.014609,                   0,              0.9129,              0.8825,              0.9368,             0.61263,            0.028114,             0.01748,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.020931,            0.014411,                   0,             0.91388,             0.87824,             0.93671,             0.61227,            0.028058,            0.017492,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.020833,            0.013847,                   0,             0.92029,             0.87306,             0.93881,             0.61056,            0.028143,            0.017517,                   0,            0.000298,            0.000298,            0.000298
